Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
07:02.8,0.1008,0.0409,-0.9659,-0.0155,-0.0748,-0.0138,0.074,-0.0416,-2.5534,,,0,64.5906,0,Automotive,High
07:02.9,0.0995,0.0632,-0.9038,-0.025,-0.0345,-0.0024,0.0721,-0.043,-2.5547,,,0,64.5906,0,Automotive,High
07:03.0,0.0797,0.0596,-0.9108,-0.0181,-0.0567,-0.0075,0.0721,-0.045,-2.5561,,,0,64.5906,0,Automotive,High
07:03.1,0.1026,0.0251,-0.826,-0.009,-0.0321,-0.0022,0.0709,-0.047,-2.554,,,0,64.5906,0,Automotive,High
07:03.2,0.1055,0.0386,-0.9534,-0.0064,-0.0864,-0.0318,0.0699,-0.0472,-2.5544,,,0,64.5906,0,Automotive,High
07:03.3,0.0925,0.0347,-0.8672,-0.0305,0.0346,-0.0017,0.0687,-0.0478,-2.5563,,,0,64.5906,0,Automotive,Low
07:03.4,0.0467,0.0207,-0.8741,-0.0065,-0.0128,0.0159,0.0707,-0.0489,-2.5529,,,0,64.5906,0,Automotive,Low
07:03.5,0.0511,0.0405,-0.8895,0.0001,-0.017,0.0097,0.0699,-0.0488,-2.5512,,,0,64.5906,0,Automotive,Low
07:03.6,0.0634,0.0298,-0.9028,0.0002,0.0018,-0.0672,0.0692,-0.0454,-2.5501,,,0,64.5906,0,Automotive,Low
07:03.7,0.0822,0.0183,-0.9664,-0.005,-0.0055,-0.015,0.072,-0.0451,-2.5521,,,0,64.5906,0,Automotive,Low
07:03.8,0.0303,0.0283,-0.9937,0.0054,-0.0042,0.0022,0.0731,-0.0429,-2.553,,,0,64.5906,0,Automotive,Low
07:03.9,0.1093,0.0326,-0.9418,0.0101,0.0519,-0.079,0.0715,-0.0416,-2.5496,,,0,64.5906,0,Automotive,High
07:04.0,0.0823,0.0189,-0.9498,0.0025,-0.0178,0.0535,0.0784,-0.037,-2.5554,,,0,64.5906,0,Automotive,High
07:04.1,0.0339,0.0341,-0.9337,0.0082,-0.0104,0.0269,0.0794,-0.0363,-2.5473,,,0,64.5906,0,Automotive,High
07:04.2,0.0862,0.0329,-0.9461,0.0128,0.0042,-0.0617,0.0785,-0.0332,-2.5488,,,0,64.5906,0,Automotive,High
